ORIGINAL_SCRIPT_WORD_INDEX,Frequency of Reuse (Exact),Frequency of Reuse (0-0.05),Frequency of Reuse (0-0.1),Frequency of Reuse (0-0.15),Frequency of Reuse (0-0.2),Frequency of Reuse (0-0.25),Frequency of Reuse (0-0.3),Frequency of Reuse (0-0.35),Frequency of Reuse (0-0.4),Frequency of Reuse (0-0.45),Frequency of Reuse (0-0.5),ORIGINAL_SCRIPT_WORD,LOWERCASE,SPACY_ORTH_ID,SCENE,CHARACTER,ANGER,ANTICIPATION,DISGUST,FEAR,JOY,SADNESS,SURPRISE,TRUST,NEGATIVE,POSITIVE
0,44.0,44.0,45.0,47.0,49.0,49.0,53.0,54.0,60.0,60.0,60.0,a,a,506,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
1,48.0,48.0,49.0,51.0,53.0,53.0,56.0,57.0,63.0,63.0,63.0,long,long,824,1,INTRO TEXT,0,1,0,0,0,0,0,0,0,0
2,48.0,48.0,49.0,51.0,53.0,55.0,58.0,59.0,65.0,65.0,65.0,time,time,646,1,INTRO TEXT,0,1,0,0,0,0,0,0,0,0
3,50.0,50.0,51.0,53.0,55.0,55.0,59.0,60.0,66.0,66.0,68.0,ago,ago,1060,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
4,121.0,121.0,122.0,124.0,128.0,134.0,140.0,142.0,151.0,151.0,151.0,in,in,522,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
5,136.0,136.0,137.0,139.0,141.0,143.0,146.0,150.0,156.0,156.0,157.0,a,a,506,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
6,134.0,134.0,134.0,134.0,135.0,138.0,138.0,140.0,140.0,140.0,141.0,galaxy,galaxy,422766,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
7,134.0,134.0,134.0,134.0,134.0,137.0,137.0,139.0,139.0,139.0,140.0,far,far,916,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
8,124.0,124.0,124.0,124.0,124.0,127.0,134.0,136.0,139.0,139.0,140.0,",",",",450,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
9,124.0,124.0,124.0,124.0,124.0,127.0,127.0,129.0,129.0,129.0,130.0,far,far,916,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
10,117.0,117.0,117.0,117.0,118.0,121.0,123.0,125.0,125.0,125.0,126.0,away,away,944,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
11,11.0,11.0,15.0,15.0,18.0,46.0,46.0,54.0,57.0,72.0,76.0,...,...,569,1,INTRO TEXT,0,0,0,0,0,0,0,0,0,0
